# Samples, Amplitude
1.070000000000000000e+02,3.533755378250001411e-01
1.080000000000000000e+02,1.016380505463620576e+00
1.090000000000000000e+02,9.118138650493216035e-01
1.100000000000000000e+02,2.477381287078440075e-01
1.110000000000000000e+02,1.305516396026326076e+00
1.120000000000000000e+02,8.599853386138346378e-01
1.130000000000000000e+02,1.984466171282262340e-02
1.140000000000000000e+02,1.135014015651511832e+00
1.150000000000000000e+02,1.378553013485396939e+00
1.160000000000000000e+02,3.915693126023473081e+00
1.170000000000000000e+02,1.871597321743550202e+00
1.180000000000000000e+02,1.716718218739825275e-02
1.190000000000000000e+02,2.808710019911741518e-01
1.200000000000000000e+02,2.635517735134666584e+00
1.210000000000000000e+02,2.472860810926981845e+00
1.220000000000000000e+02,2.165113963440319811e+00
1.230000000000000000e+02,4.806976354333204249e+00
1.240000000000000000e+02,2.089750639372062402e+00
1.250000000000000000e+02,6.669357492867291626e-01
1.260000000000000000e+02,4.074841118978214993e+00
1.270000000000000000e+02,4.062053015059672312e+00
1.280000000000000000e+02,1.076276913551319048e+00
1.290000000000000000e+02,2.698253802216133757e+00
1.300000000000000000e+02,1.649194103410209777e-01
1.310000000000000000e+02,1.361744382775838202e+00
1.320000000000000000e+02,4.103331525242879807e-01
1.330000000000000000e+02,3.616332754429193663e+00
1.340000000000000000e+02,9.199199268013519282e-01
1.350000000000000000e+02,2.453019454502994190e+00
1.360000000000000000e+02,4.372913411448013932e+00
1.370000000000000000e+02,2.695548465287993967e+00
1.380000000000000000e+02,5.201514972716243079e+00
1.390000000000000000e+02,2.144015594426943672e+00
1.400000000000000000e+02,4.258126967884062530e+00
1.410000000000000000e+02,7.809177097495751951e+00
1.420000000000000000e+02,2.696693665368287807e+00
1.430000000000000000e+02,3.299072540720747515e+00
1.440000000000000000e+02,4.778758955719159651e+00
1.450000000000000000e+02,3.192149189997445013e+00
1.460000000000000000e+02,2.643469636245793453e+00
1.470000000000000000e+02,3.972510899628662884e+00
1.480000000000000000e+02,3.417746715394525125e+00
1.490000000000000000e+02,4.253214930613694045e-01
1.500000000000000000e+02,1.328953425333422755e+00
1.510000000000000000e+02,8.542052548220563368e-02
1.520000000000000000e+02,4.463294453936810235e-01
1.530000000000000000e+02,6.327166068775171404e+00
1.540000000000000000e+02,1.828050583014552144e+00
1.550000000000000000e+02,9.093613372211252210e-01
1.560000000000000000e+02,8.462709602999900937e+00
1.570000000000000000e+02,7.660867639462975553e+00
1.580000000000000000e+02,2.944590077200889500e+00
1.590000000000000000e+02,9.468599242772402391e+00
1.600000000000000000e+02,1.274840250025668276e+01
1.610000000000000000e+02,8.270706949750012527e+00
1.620000000000000000e+02,6.926394191091269192e+00
1.630000000000000000e+02,6.277612766312015147e+00
1.640000000000000000e+02,3.152595199445339169e+00
1.650000000000000000e+02,1.321621464063309714e+00
1.660000000000000000e+02,9.138339509846172604e+00
1.670000000000000000e+02,9.624020319397049050e+00
1.680000000000000000e+02,2.500413346074904730e+00
1.690000000000000000e+02,1.246165432711156873e+00
1.700000000000000000e+02,4.419514623177467350e+00
1.710000000000000000e+02,1.537191617272041899e+00
1.720000000000000000e+02,4.650153348961137745e+00
1.730000000000000000e+02,3.746697782776668983e+00
1.740000000000000000e+02,2.822412308214691024e+00
1.750000000000000000e+02,5.356785565913459557e+00
1.760000000000000000e+02,8.508635303280357221e+00
1.770000000000000000e+02,9.309899220683851340e+00
1.780000000000000000e+02,4.520441327655443153e+00
1.790000000000000000e+02,4.566771417955214574e+00
1.800000000000000000e+02,1.298275498735068645e+01
1.810000000000000000e+02,6.292154748255106789e+00
1.820000000000000000e+02,3.357327074200082695e+00
1.830000000000000000e+02,1.323794181066079823e+01
1.840000000000000000e+02,7.862413837431483365e+00
1.850000000000000000e+02,7.941281462962838766e+00
1.860000000000000000e+02,9.426536010803381771e+00
1.870000000000000000e+02,2.576132026806935205e+00
1.880000000000000000e+02,1.324666982887416689e+00
1.890000000000000000e+02,5.749134922616203625e+00
1.900000000000000000e+02,3.694615288835155997e+00
1.910000000000000000e+02,1.193814661342575523e+00
1.920000000000000000e+02,2.081349308979009993e-01
1.930000000000000000e+02,1.025767248440896928e+01
1.940000000000000000e+02,4.266762250560814707e+00
1.950000000000000000e+02,3.037369474842494199e+00
1.960000000000000000e+02,5.379536457350915235e+00
1.970000000000000000e+02,4.558390438791025012e+00
1.980000000000000000e+02,2.666396033865818360e+00
1.990000000000000000e+02,5.172842831630203086e+00
2.000000000000000000e+02,7.547088328387201450e+00
2.010000000000000000e+02,1.123035028477074704e+01
2.020000000000000000e+02,1.005548023696814752e+01
2.030000000000000000e+02,5.543032601417454686e+00
2.040000000000000000e+02,7.263961477361624119e+00
2.050000000000000000e+02,4.515103032692158180e+00
2.060000000000000000e+02,9.582481309511932110e-01
2.070000000000000000e+02,3.722999840584149123e-01
2.080000000000000000e+02,5.965621030350133580e+00
2.090000000000000000e+02,2.717039119591551533e+00
2.100000000000000000e+02,9.787975488184466055e-01
2.110000000000000000e+02,9.884600015771375370e-01
2.120000000000000000e+02,2.391693251164511036e+00
2.130000000000000000e+02,4.090738760960749842e-01
2.140000000000000000e+02,2.834364019907700705e+00
2.150000000000000000e+02,3.976814291659688250e-01
2.160000000000000000e+02,3.527827722548442679e+00
2.170000000000000000e+02,4.602970240750311248e+00
2.180000000000000000e+02,3.993994785798578584e-01
2.190000000000000000e+02,3.579451768494772868e+00
2.200000000000000000e+02,5.744326964544825387e+00
2.210000000000000000e+02,1.053175968815374830e+01
2.220000000000000000e+02,3.354755658358894721e-02
2.230000000000000000e+02,1.790072562406908263e+00
2.240000000000000000e+02,6.227686030498377212e-01
2.250000000000000000e+02,5.167506492644012184e+00
2.260000000000000000e+02,8.514937701325351327e-01
2.270000000000000000e+02,7.296139425471162454e+00
2.280000000000000000e+02,1.466261234503251032e+01
2.290000000000000000e+02,1.783296299626627057e+00
2.300000000000000000e+02,3.540192905232340426e+00
2.310000000000000000e+02,1.315678643354497268e+01
2.320000000000000000e+02,8.787101455286142837e+00
2.330000000000000000e+02,1.503444037872603012e+01
2.340000000000000000e+02,1.060779978769107856e+01
2.350000000000000000e+02,6.834254147736912088e+00
2.360000000000000000e+02,5.918220436900950787e+00
2.370000000000000000e+02,4.076590882793978743e+00
2.380000000000000000e+02,3.388244124446813110e-01
2.390000000000000000e+02,3.386290070247939266e+00
2.400000000000000000e+02,1.293259396804461758e+01
2.410000000000000000e+02,6.531632717867352778e-01
2.420000000000000000e+02,1.562875693817679945e+01
2.430000000000000000e+02,1.344229694930070806e+01
2.440000000000000000e+02,9.156246294807108832e-01
2.450000000000000000e+02,7.406180288160508773e+00
2.460000000000000000e+02,1.506462112521478147e+01
2.470000000000000000e+02,3.562773889604003763e+00
2.480000000000000000e+02,1.795258521153187203e+01
2.490000000000000000e+02,1.781885494519348256e+01
2.500000000000000000e+02,3.112464901979797194e+00
2.510000000000000000e+02,1.998647344897723954e+01
2.520000000000000000e+02,1.110168106177652803e+01
2.530000000000000000e+02,9.859960608788093106e-01
2.540000000000000000e+02,8.214141858944293162e+00
2.550000000000000000e+02,2.346978592986652234e+00
2.560000000000000000e+02,9.463921778348657554e+00
2.570000000000000000e+02,1.662091902383816233e+01
2.580000000000000000e+02,7.551200969576390420e-01
2.590000000000000000e+02,2.972280929066031252e+00
2.600000000000000000e+02,1.931101247973729729e+00
2.610000000000000000e+02,4.862206018998839419e+00
2.620000000000000000e+02,2.435055569711738421e+00
2.630000000000000000e+02,4.641286919073053241e+00
2.640000000000000000e+02,6.460877904044212805e+00
2.650000000000000000e+02,2.317317215603138081e+00
2.660000000000000000e+02,3.156942370296313882e+01
2.670000000000000000e+02,2.905342813325396634e+01
2.680000000000000000e+02,3.292564513209659705e+00
2.690000000000000000e+02,1.991794015449744748e+01
2.700000000000000000e+02,3.026362350628564357e+01
2.710000000000000000e+02,1.333656211934398073e+01
2.720000000000000000e+02,1.123332625518131955e+01
2.730000000000000000e+02,1.194131186543048528e+01
2.740000000000000000e+02,1.043494827758552823e+01
2.750000000000000000e+02,2.840150941485873304e+01
2.760000000000000000e+02,2.955192819391142223e+01
2.770000000000000000e+02,1.323836000580498151e+01
2.780000000000000000e+02,4.207264946158502994e+00
2.790000000000000000e+02,3.053758952913527835e-01
2.800000000000000000e+02,6.613772171528950139e+00
2.810000000000000000e+02,1.340965494010597059e+00
2.820000000000000000e+02,1.635214950129249445e+01
2.830000000000000000e+02,2.011201696397793892e+00
2.840000000000000000e+02,2.704237335279645826e+00
2.850000000000000000e+02,2.007049300405695291e+01
2.860000000000000000e+02,2.053957739948023331e+01
2.870000000000000000e+02,2.170153333142504692e+01
2.880000000000000000e+02,1.525708927080230204e+01
2.890000000000000000e+02,2.301836483509519127e+01
2.900000000000000000e+02,2.456272933799966651e+01
2.910000000000000000e+02,1.378398646378012060e+01
2.920000000000000000e+02,1.103320030393891926e+01
2.930000000000000000e+02,1.859495829703291747e+01
2.940000000000000000e+02,2.445058983509861861e+01
2.950000000000000000e+02,1.377005516457150236e+01
2.960000000000000000e+02,1.821165490523376462e+01
2.970000000000000000e+02,1.101915389431991166e+01
2.980000000000000000e+02,5.438670402533857917e+00
2.990000000000000000e+02,2.938046061909815321e-01
3.000000000000000000e+02,4.525235470261005921e-01
3.010000000000000000e+02,6.605556577716573674e-01
3.020000000000000000e+02,1.474442234812171471e+01
3.030000000000000000e+02,2.692273658384812052e+01
3.040000000000000000e+02,1.243430254744096297e+00
3.050000000000000000e+02,4.914741157294876817e-01
3.060000000000000000e+02,2.816043329484052293e+01
3.070000000000000000e+02,1.595974792139257126e+01
3.080000000000000000e+02,4.011491031973381638e+00
3.090000000000000000e+02,5.991651311463152219e+00
3.100000000000000000e+02,1.781068698900122627e+01
3.110000000000000000e+02,2.936306908076393896e+01
3.120000000000000000e+02,2.595466268615128769e+01
3.130000000000000000e+02,2.210885055597546867e+01
3.140000000000000000e+02,1.621416223253527633e+01
3.150000000000000000e+02,2.235713248798192865e+01
3.160000000000000000e+02,1.315416691792621329e+01
3.170000000000000000e+02,5.075680368413772570e+00
3.180000000000000000e+02,6.747336936381052475e+00
3.190000000000000000e+02,1.451269090768730674e+00
3.200000000000000000e+02,1.179903431722867602e+01
3.210000000000000000e+02,2.185690234882791927e+01
3.220000000000000000e+02,1.988353946941337114e+01
3.230000000000000000e+02,9.056233195519642010e+00
3.240000000000000000e+02,2.052281440819739089e+01
3.250000000000000000e+02,2.063343016504669691e+01
3.260000000000000000e+02,6.095149110065370968e-01
3.270000000000000000e+02,3.029822918306624757e+01
3.280000000000000000e+02,2.226023504736660641e+01
3.290000000000000000e+02,1.630795362004804971e+01
3.300000000000000000e+02,4.341061386553364088e+01
3.310000000000000000e+02,1.341760375128344052e+01
3.320000000000000000e+02,1.613043968920140969e+01
3.330000000000000000e+02,4.098114591487673408e+01
3.340000000000000000e+02,1.941248461721475849e+01
3.350000000000000000e+02,2.990085829415172203e+00
3.360000000000000000e+02,2.275574669417855134e+01
3.370000000000000000e+02,2.647950750595176572e+01
3.380000000000000000e+02,8.036365632713359020e+00
3.390000000000000000e+02,1.354444341575810462e+01
3.400000000000000000e+02,9.040930981388711984e+00
3.410000000000000000e+02,5.413211215136217724e+00
3.420000000000000000e+02,5.638161163658780062e+00
3.430000000000000000e+02,1.308217177941305742e+01
3.440000000000000000e+02,2.135880686866181932e+01
3.450000000000000000e+02,2.287010908401841647e+01
3.460000000000000000e+02,2.721772436891137659e+01
3.470000000000000000e+02,4.342230603005998546e+01
3.480000000000000000e+02,2.178441049321494205e+01
3.490000000000000000e+02,2.952412065510387862e+01
3.500000000000000000e+02,4.260551511620153775e+01
3.510000000000000000e+02,1.199435335470730024e+01
3.520000000000000000e+02,9.153640032554049455e+00
3.530000000000000000e+02,3.592067454923188308e+01
3.540000000000000000e+02,2.974500144117980227e+01
3.550000000000000000e+02,1.370923005671883566e+01
3.560000000000000000e+02,9.935774344912750022e-01
3.570000000000000000e+02,2.164775002961082627e-03
3.580000000000000000e+02,8.945614324395764427e+00
3.590000000000000000e+02,3.979835472399781526e+00
3.600000000000000000e+02,1.484966633198887553e+00
3.610000000000000000e+02,2.491130441781993277e+00
3.620000000000000000e+02,7.044205295423542346e+00
3.630000000000000000e+02,8.161659163853631327e+00
3.640000000000000000e+02,7.693902408279774896e+00
3.650000000000000000e+02,1.490205198759917415e+01
3.660000000000000000e+02,2.474240312002416786e+01
3.670000000000000000e+02,7.297522335834260687e+00
3.680000000000000000e+02,5.261186983528118866e+00
3.690000000000000000e+02,1.622616038794868842e+01
3.700000000000000000e+02,9.043137670841581988e-02
3.710000000000000000e+02,2.723537156776473456e+00
3.720000000000000000e+02,2.277926035058726484e+01
3.730000000000000000e+02,1.017327708766717720e+01
3.740000000000000000e+02,1.660231029778838163e+01
3.750000000000000000e+02,1.347464512734325481e+01
3.760000000000000000e+02,2.184010882295600808e+01
3.770000000000000000e+02,1.600139327374411735e+01
3.780000000000000000e+02,2.854272999579170467e+00
3.790000000000000000e+02,3.415724067991638968e+00
3.800000000000000000e+02,1.508384316725126340e+01
3.810000000000000000e+02,1.404282108833189113e+01
3.820000000000000000e+02,6.953174820638609255e+00
3.830000000000000000e+02,2.020318760549309900e+01
3.840000000000000000e+02,1.640130775818514408e+01
3.850000000000000000e+02,1.590249516775427985e+01
3.860000000000000000e+02,1.304677147838997264e+01
3.870000000000000000e+02,2.766345634873874104e+01
3.880000000000000000e+02,3.607821308907044333e+00
3.890000000000000000e+02,6.450779682119200054e+00
3.900000000000000000e+02,5.978329830238678255e+00
3.910000000000000000e+02,4.856219420305311729e+00
3.920000000000000000e+02,2.013090010826063647e+00
3.930000000000000000e+02,1.347142707919383753e+01
3.940000000000000000e+02,4.313307325670059811e+00
3.950000000000000000e+02,1.413450021651739696e+01
3.960000000000000000e+02,1.997347070366121002e+01
3.970000000000000000e+02,1.310905290137382551e+01
3.980000000000000000e+02,1.310157757304600068e+01
3.990000000000000000e+02,5.473851792427858953e+01
4.000000000000000000e+02,3.317480130258505255e+01
4.010000000000000000e+02,1.418917468028502604e+00
4.020000000000000000e+02,1.030075576075555510e+01
4.030000000000000000e+02,2.400262462410908171e+01
4.040000000000000000e+02,3.959287068060908865e+01
4.050000000000000000e+02,1.697438750700431598e+01
4.060000000000000000e+02,9.816189995518833200e+00
4.070000000000000000e+02,4.662771046587393897e+01
4.080000000000000000e+02,1.350052828301451946e+01
4.090000000000000000e+02,9.537579678124343374e+00
4.100000000000000000e+02,2.609295264608288090e+00
4.110000000000000000e+02,7.174957992487777325e+00
4.120000000000000000e+02,1.427096230086479878e+01
4.130000000000000000e+02,2.416512547327973692e+01
4.140000000000000000e+02,2.424004931243243988e+01
4.150000000000000000e+02,5.407798360292930084e+01
4.160000000000000000e+02,3.869972182076792677e+01
4.170000000000000000e+02,7.607771317271638800e+00
4.180000000000000000e+02,3.706662510578168934e+01
4.190000000000000000e+02,3.466893265806483271e+01
4.200000000000000000e+02,3.099287931222747261e+01
4.210000000000000000e+02,6.525619836960041198e+01
4.220000000000000000e+02,4.832361010642635790e+01
4.230000000000000000e+02,4.337931870828125369e+01
4.240000000000000000e+02,3.967927874334864669e+01
4.250000000000000000e+02,1.671927170593973244e+01
4.260000000000000000e+02,1.097589653827626321e+01
4.270000000000000000e+02,8.357363173929442723e+00
4.280000000000000000e+02,1.685641899049262094e+01
4.290000000000000000e+02,4.807851934097244140e+01
4.300000000000000000e+02,2.606955457212566429e+01
4.310000000000000000e+02,4.052477181206067058e+01
4.320000000000000000e+02,5.441546666376839170e+01
4.330000000000000000e+02,2.168718414313980247e+01
4.340000000000000000e+02,1.448756782402334409e+01
4.350000000000000000e+02,4.497452691779716361e+01
4.360000000000000000e+02,5.772244222112747281e+01
4.370000000000000000e+02,3.857581850348490349e+01
4.380000000000000000e+02,4.737197528290425197e+01
4.390000000000000000e+02,6.426387653040188752e+01
4.400000000000000000e+02,4.697265441559197541e+01
4.410000000000000000e+02,5.587271770853007524e+01
4.420000000000000000e+02,3.980039918823442235e+01
4.430000000000000000e+02,1.752408065056888731e+01
4.440000000000000000e+02,5.499173634850954784e+01
4.450000000000000000e+02,5.241704344823734374e+01
4.460000000000000000e+02,4.092713753154482248e+01
4.470000000000000000e+02,4.309868746933403827e+01
4.480000000000000000e+02,1.154253400720691580e+01
4.490000000000000000e+02,1.432933986503451607e+01
4.500000000000000000e+02,3.306203327995382324e+01
4.510000000000000000e+02,2.967562922961484162e+01
4.520000000000000000e+02,2.696551217634155506e+01
4.530000000000000000e+02,3.821180755150423636e+01
4.540000000000000000e+02,5.022263453134554112e+01
4.550000000000000000e+02,4.473526801986391632e+01
4.560000000000000000e+02,5.260363926493228348e+01
4.570000000000000000e+02,3.719696334514244995e+01
4.580000000000000000e+02,3.516608862723458628e+01
4.590000000000000000e+02,6.083620741765497542e+01
4.600000000000000000e+02,3.534331706700773168e+01
4.610000000000000000e+02,5.329526261515866992e+01
4.620000000000000000e+02,9.427415802252217247e+01
4.630000000000000000e+02,7.009462273125694765e+01
4.640000000000000000e+02,4.938325273842321650e+01
4.650000000000000000e+02,5.311970695736420112e+01
4.660000000000000000e+02,4.456118370271217799e+01
4.670000000000000000e+02,1.416607864772142733e+01
4.680000000000000000e+02,3.710916976582762095e-01
4.690000000000000000e+02,1.860318862337253876e+01
4.700000000000000000e+02,4.133884590084256416e+01
4.710000000000000000e+02,4.510831913874432786e+01
4.720000000000000000e+02,3.344078071768683458e+01
4.730000000000000000e+02,7.690814286851152204e+00
4.740000000000000000e+02,1.657883415908488800e+01
4.750000000000000000e+02,5.369947311713741556e+01
4.760000000000000000e+02,3.597959627288538087e+01
4.770000000000000000e+02,2.786031669911674413e+01
4.780000000000000000e+02,5.557765217863296670e+01
4.790000000000000000e+02,6.619956942594426152e+01
4.800000000000000000e+02,5.433622664816697068e+01
4.810000000000000000e+02,5.370924379384764080e+01
4.820000000000000000e+02,5.534318742756676102e+01
4.830000000000000000e+02,2.065279705877557248e+01
4.840000000000000000e+02,7.035539740091863337e+00
4.850000000000000000e+02,2.834049778520144613e+01
4.860000000000000000e+02,3.449951139718631765e+01
4.870000000000000000e+02,5.875680066095594345e-01
4.880000000000000000e+02,1.667719537401361474e-01
4.890000000000000000e+02,1.935822170899169237e+01
4.900000000000000000e+02,1.448157479480789966e+01
4.910000000000000000e+02,7.853788134586108249e+00
4.920000000000000000e+02,2.023899889356403037e+01
4.930000000000000000e+02,1.717461278069777109e+01
4.940000000000000000e+02,5.917406757712047494e+01
4.950000000000000000e+02,1.489680742303205463e+01
4.960000000000000000e+02,3.819459137032397145e+00
4.970000000000000000e+02,2.590165255081137730e+01
4.980000000000000000e+02,1.967492782127740725e+01
4.990000000000000000e+02,5.744877439349838255e+01
5.000000000000000000e+02,4.968841161820645169e+01
5.010000000000000000e+02,4.663082000931431992e+01
5.020000000000000000e+02,5.622404829194050535e+01
5.030000000000000000e+02,5.543163361432640102e+00
5.040000000000000000e+02,2.384933463448788427e+00
5.050000000000000000e+02,2.309846374540208558e+01
5.060000000000000000e+02,1.575049837680007947e+00
5.070000000000000000e+02,8.837532946403051426e+00
5.080000000000000000e+02,1.929550648506680233e+01
5.090000000000000000e+02,1.441447148496852471e+01
5.100000000000000000e+02,9.733666602102884369e+00
5.110000000000000000e+02,3.802219346098330988e+01
5.120000000000000000e+02,2.903718789848989346e+01
5.130000000000000000e+02,1.449383849261346846e+01
5.140000000000000000e+02,3.361181539794925843e+00
5.150000000000000000e+02,3.407290135190879710e+01
5.160000000000000000e+02,1.047238438135186556e+01
5.170000000000000000e+02,3.415688644462719470e+00
5.180000000000000000e+02,1.049335585793794756e+01
5.190000000000000000e+02,3.595244505965105475e+01
5.200000000000000000e+02,4.506306762361536755e+01
5.210000000000000000e+02,2.041508651127347918e+01
5.220000000000000000e+02,2.705234798793602025e+01
5.230000000000000000e+02,3.371586527059528748e+01
5.240000000000000000e+02,3.543012711310159091e+01
5.250000000000000000e+02,1.103974477461871651e+01
5.260000000000000000e+02,5.020049639619415416e+01
5.270000000000000000e+02,1.193998936917826548e+01
5.280000000000000000e+02,8.631591953274032392e+00
5.290000000000000000e+02,1.284654696222895964e+01
5.300000000000000000e+02,2.546736164418775417e+01
5.310000000000000000e+02,2.048398893891710060e+01
5.320000000000000000e+02,1.548130445729996296e+01
5.330000000000000000e+02,3.408492611259617178e+01
5.340000000000000000e+02,1.344327207297081772e+00
5.350000000000000000e+02,3.746279814495391047e+00
5.360000000000000000e+02,1.309826875767865140e+01
5.370000000000000000e+02,4.633388292119198226e+00
5.380000000000000000e+02,1.247021442791772960e+00
5.390000000000000000e+02,1.665558049466985580e+01
5.400000000000000000e+02,7.257833493740382558e+00
5.410000000000000000e+02,1.069861558582803696e+01
5.420000000000000000e+02,3.815486109980574980e+01
5.430000000000000000e+02,2.188419734791881766e+01
5.440000000000000000e+02,1.158128650790553138e+01
5.450000000000000000e+02,2.635240833694510698e+01
5.460000000000000000e+02,3.159304817928804709e+01
5.470000000000000000e+02,3.339017497784660549e+01
5.480000000000000000e+02,6.466453414901894803e+01
5.490000000000000000e+02,1.703092318252670623e+01
5.500000000000000000e+02,1.533216993784944826e+01
5.510000000000000000e+02,2.495345799104029183e+01
5.520000000000000000e+02,1.164585040303399133e+01
5.530000000000000000e+02,5.303333589019612049e+01
5.540000000000000000e+02,3.912355508769718426e+01
5.550000000000000000e+02,7.282700167938502389e+00
5.560000000000000000e+02,5.157417971501113385e+01
5.570000000000000000e+02,1.119514413720416535e+01
5.580000000000000000e+02,4.782193716879220347e+01
5.590000000000000000e+02,8.164434225451335791e+00
5.600000000000000000e+02,1.040100996092682628e+01
5.610000000000000000e+02,1.751355724644064793e+01
5.620000000000000000e+02,2.908272719623312241e+01
5.630000000000000000e+02,2.914010290683146565e+01
5.640000000000000000e+02,3.898339755001750717e+01
5.650000000000000000e+02,3.014524251187516057e+01
5.660000000000000000e+02,2.841861395102906940e+01
5.670000000000000000e+02,4.456079245083549978e+01
5.680000000000000000e+02,3.210905256089572646e+01
5.690000000000000000e+02,4.023677794110298578e+01
5.700000000000000000e+02,7.801316441444090799e+01
5.710000000000000000e+02,7.634204951849186216e+01
5.720000000000000000e+02,5.845858744751599545e+01
5.730000000000000000e+02,5.855561146682865825e+01
5.740000000000000000e+02,5.052551511409868823e+01
5.750000000000000000e+02,3.704622678332682995e+01
5.760000000000000000e+02,6.337156056479694399e+01
5.770000000000000000e+02,7.435478221703978363e+01
5.780000000000000000e+02,2.725116564239795736e+01
5.790000000000000000e+02,3.730398891104601233e+01
5.800000000000000000e+02,6.650637186568275183e+01
5.810000000000000000e+02,6.387410106110117169e+01
